Sender BU ID,Sender BU Description,Sender BU Region,Sender BU Approver Contact Email,Sender BU Onsite Contact Email,Sender BU's SKU Current DOI,Sender BU's SKU Target DOI,Sender Average Weekly Use,Sender BU On Hand Quantity,Sender BU in Transit Quantity,Sender BU Approves transfer? (YES/NO),Item ID,Item Description,Supplier Name,Source Lot ID,Item-Lot Expiry Date,Item Quantity to transfer,STD UOM,$ Value of Transfer,Transfer Recommendation Reason,PeopleSoft Transfer ID,Receiver BU ID,Receiver BU Description,Receiver BU Region,Receiver BU Approver Contact Email,Receiver BU Onsite Contact Email,Receiver BU's SKU Current DOI,Receiver BU's SKU Target DOI,Receiver Average Weekly Use,Receiver BU On Hand Quantity,Receiver BU in Transit Quantity,Receiver BU Approves transfer? (YES/NO),Chart of Accounts,Receiver BU Address,Sender Lot Items to Expire
69000,Quest Diag.- LabOne LLC-Lenexa,Great MidWest,vincent.s.hoefler@questdiagnostics.com,vincent.s.hoefler@questdiagnostics.com,22.97,19,438.90000000000003,1440,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,87.0,PK,208.88699999999997,Surplus at SoBU (non-lot),,67500,Quest Diagnostics - Las Vegas,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,7.44,19,131.67,140,0,-,67500-QAW,"4230 Burnham Ave, Las Vegas, 89119-5408, NV",0.0
62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,61.71,14,12.25,108,0,-,2646,"LOOP, 1UL SOFT, 1000/BX","AERO-MED, LTD.",NONLOT,2100-01-01,23.0,BX,648.14,Surplus at SoBU (non-lot),,50500,Quest Diagnostics-Houston,Southwest,Jeannie.E.Disisto@questdiagnostics.com,Jeannie.E.Disisto@questdiagnostics.com,0.0,14,12.18,0,0,-,50500-RGA,"5850 Rogerdale Road, Houston, 77072-1602, TX",0.0
62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,61.71,14,12.25,108,0,-,2646,"LOOP, 1UL SOFT, 1000/BX","AERO-MED, LTD.",NONLOT,2100-01-01,39.0,BX,1099.02,Surplus at SoBU (non-lot),,68100,Quest Diagnostics - West Hills,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,0.0,14,19.53,0,0,-,68100-EN,"8401 Fallbrook Avenue, West Hills, 91304, CA",0.0
62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,61.71,14,12.25,108,0,-,2646,"LOOP, 1UL SOFT, 1000/BX","AERO-MED, LTD.",NONLOT,2100-01-01,21.0,BX,591.78,Surplus at SoBU (non-lot),,68200,Quest Diagnostics - Sacramento,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,0.0,14,10.57,0,0,-,68200-UL,"3714 Northgate Blvd, Sacramento, 95834-1617, CA",0.0
10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,40.0,24,0.7000000000000001,4,0,-,2736,"RGT, CENTAUR, FSH, 500 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,9709245,2021-06-22,1.0,EA,175.0,Surplus at SoBU (lot NOT in use); lot not found at deficit ReBU,,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,5.78,19,12.11,10,0,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",0.0
32500,Quest Diagnostics Baltimore,East,James.P.Martin@questdiagnostics.com,James.P.Martin@questdiagnostics.com,29.17,22,1.68,7,0,-,2736,"RGT, CENTAUR, FSH, 500 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,9709245,2021-06-22,1.0,EA,175.0,Surplus at SoBU (lot NOT in use); lot not found at deficit ReBU,,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,5.78,19,12.11,10,0,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",0.0
42500,Quest Diagnostics-Horsham,East,Jogi.M.John@questdiagnostics.com,Jogi.M.John@questdiagnostics.com,39.13,19,1.61,9,0,-,2736,"RGT, CENTAUR, FSH, 500 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,5102245,2021-06-22,1.0,EA,175.0,Surplus at SoBU (lot in use); lot in use at deficit ReBU,,46500,Quest Diagnostics-Marlborough,North,Leslie.X.Haradji@questdiagnostics.com,Leslie.X.Haradji@questdiagnostics.com,16.67,19,3.36,8,0,-,46500-NL2,"200 Forest Street
Floor 3, Marlborough, 1752, MA",0.0
42500,Quest Diagnostics-Horsham,East,Jogi.M.John@questdiagnostics.com,Jogi.M.John@questdiagnostics.com,39.13,19,1.61,9,0,-,2736,"RGT, CENTAUR, FSH, 500 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,5102245,2021-06-22,1.0,EA,175.0,Surplus at SoBU (lot in use); lot in use at deficit ReBU,,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,5.78,19,12.11,10,0,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",0.0
42500,Quest Diagnostics-Horsham,East,Jogi.M.John@questdiagnostics.com,Jogi.M.John@questdiagnostics.com,39.13,19,1.61,9,0,-,2736,"RGT, CENTAUR, FSH, 500 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,9709245,2021-06-22,2.0,EA,350.0,Surplus at SoBU (lot NOT in use); lot not found at deficit ReBU,,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,5.78,19,12.11,10,0,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",0.0
48500,Quest Diagnostics Denver,Great MidWest,,,40.0,22,0.7000000000000001,4,0,-,2736,"RGT, CENTAUR, FSH, 500 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,9709245,2021-06-22,1.0,EA,175.0,Surplus at SoBU (lot in use); lot not found at deficit ReBU,,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,5.78,19,12.11,10,0,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",0.0
49500,ASSOCIATED CLINICAL LABS.,North,Robert.G.Galbraith@questdiagnostics.com,Robert.G.Galbraith@questdiagnostics.com,33.33,22,1.05,5,0,-,2736,"RGT, CENTAUR, FSH, 500 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,9709245,2021-06-22,1.0,EA,175.0,Surplus at SoBU (lot in use); lot not found at deficit ReBU,,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,5.78,19,12.11,10,0,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",0.0
67100,Quest Diagnostics - Chantilly,Esoteric,ChantillyMaterialsManagement@questdiagnostics.com,ChantillyMaterialsManagement@questdiagnostics.com,40.0,24,0.7000000000000001,4,0,-,2736,"RGT, CENTAUR, FSH, 500 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,9709245,2021-06-22,1.0,EA,175.0,Surplus at SoBU (lot NOT in use); lot not found at deficit ReBU,,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,5.78,19,12.11,10,0,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",0.0
46500,Quest Diagnostics-Marlborough,North,Leslie.X.Haradji@questdiagnostics.com,Leslie.X.Haradji@questdiagnostics.com,80.72,19,5.81,67,0,-,2738,"RGT, CENTAUR, PRL, 250 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,45027182,2021-03-18,1.0,EA,87.5,Lot expires before SoBU use; lot on hand at deficit ReBU,,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,18.37,24,3.4299999999999997,9,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",8.900000000000006
46500,Quest Diagnostics-Marlborough,North,Leslie.X.Haradji@questdiagnostics.com,Leslie.X.Haradji@questdiagnostics.com,80.72,19,5.81,67,0,-,2738,"RGT, CENTAUR, PRL, 250 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,45027182,2021-03-18,32.0,EA,2800.0,Lot expires before SoBU use; lot on hand at deficit ReBU,,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,5.37,19,16.939999999999998,13,1,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",8.900000000000006
50500,Quest Diagnostics-Houston,Southwest,Jeannie.E.Disisto@questdiagnostics.com,Jeannie.E.Disisto@questdiagnostics.com,99999.0,19,0.0,5,0,-,2738,"RGT, CENTAUR, PRL, 250 TST",SIEMENS HEALTHCARE DIAGNOSTICS INC,4343180,2021-01-17,1.0,EA,87.5,Lot expires before SoBU use; lot NOT at deficit ReBU (minimum days applies),,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,18.37,24,3.4299999999999997,9,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",5.0
29775,Quest Diagnostics-Milan Hosp,Southeast,,,99999.0,14,0.0,4,0,-,16029,"PAPER, ABSORBENT TABLE, LABMAT",FISHER HEALTHCARE,NONLOT,2100-01-01,3.0,EA,56.13,Surplus at SoBU (non-lot),,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,23.26,24,35.21,117,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
33000,Nichols Institute Valencia,Esoteric,,,53.09,14,5.67,43,0,-,16029,"PAPER, ABSORBENT TABLE, LABMAT",FISHER HEALTHCARE,NONLOT,2100-01-01,15.0,EA,280.65000000000003,Surplus at SoBU (non-lot),,46500,Quest Diagnostics-Marlborough,North,Leslie.X.Haradji@questdiagnostics.com,Leslie.X.Haradji@questdiagnostics.com,1.64,14,8.54,2,0,-,46500-NL2,"200 Forest Street
Floor 3, Marlborough, 1752, MA",0.0
68200,Quest Diagnostics - Sacramento,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,62.5,14,2.24,20,0,-,16029,"PAPER, ABSORBENT TABLE, LABMAT",FISHER HEALTHCARE,NONLOT,2100-01-01,7.0,EA,130.97,Surplus at SoBU (non-lot),,30000,Quest Diagnostics - Atlanta,Southeast,,,4.88,14,5.739999999999999,4,0,-,30000-AT,"1777 Montreal Cir, Tucker, 30084, GA",0.0
39500,Quest Diagnostics-S. Fla Miami,Southeast,Maria.R.Garzon@questdiagnostics.com,Maria.R.Garzon@questdiagnostics.com,47.13,14,23.17,156,0,-,16692,"APPLICATOR, WOOD, 6IN, NS, 100","AERO-MED, LTD.",NONLOT,2100-01-01,46.0,PK,74.336,Surplus at SoBU (non-lot),,62540,Quest Diag-HUMC Univ Med Ctr,East,,,0.0,14,23.310000000000002,0,0,-,62540-P34,"30 Prospect Ave
Hospital Laboratory, Hackensack, 07601-1915, NJ",0.0
51570,Quest Diag-Dallas-ABQ,Southwest,Jeannie.E.Disisto@questdiagnostics.com,Jeannie.E.Disisto@questdiagnostics.com,75.0,22,0.28,3,0,-,16964,"REAGENT, SOLUTION, WASH","BECKMAN COULTER, INC.",NONLOT,2100-01-01,2.0,BX,86.72,Surplus at SoBU (non-lot),,33000,Nichols Institute Valencia,Esoteric,,,0.0,24,0.84,0,0,-,33000-SLI,"27027 Tourney Rd, Valencia, 91355-5386 , CA",0.0
26700,Greensboro,Southeast,Frank.G.Garner@questdiagnostics.com,Frank.G.Garner@questdiagnostics.com,145.45,14,0.77,16,0,-,17153,"BLADE, MICROTOME, HP, ACCU-EDG","AERO-MED, LTD.",NONLOT,2100-01-01,14.0,PK,1019.1999999999999,Surplus at SoBU (non-lot),,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,4.02,24,43.54,25,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
29770,Quest Diag-RMC Anniston,Southeast,cassandra.l.lynch@questdiagnostics.com,cassandra.l.lynch@questdiagnostics.com,25.81,14,4.34,16,0,-,17153,"BLADE, MICROTOME, HP, ACCU-EDG","AERO-MED, LTD.",NONLOT,2100-01-01,7.0,PK,509.59999999999997,Surplus at SoBU (non-lot),,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,4.02,24,43.54,25,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
46571,CMHS Central Maine Med Ctr,North,Michael.X.Fox@questdiagnostics.com,Michael.X.Fox@questdiagnostics.com,119.44,14,2.52,43,0,-,17153,"BLADE, MICROTOME, HP, ACCU-EDG","AERO-MED, LTD.",NONLOT,2100-01-01,37.0,PK,2693.6,Surplus at SoBU (non-lot),,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,4.02,24,43.54,25,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
57500,Quest Diagnostics-Portland,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,140.0,14,0.7000000000000001,14,0,-,17153,"BLADE, MICROTOME, HP, ACCU-EDG","AERO-MED, LTD.",NONLOT,2100-01-01,12.0,PK,873.5999999999999,Surplus at SoBU (non-lot),,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,4.02,24,43.54,25,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
36000,MedFusion,Esoteric,,,33.33,24,0.84,4,0,-,30696,"RGT, FACTOR X DEF. SUBSTR, 3X1,(OTXY135)",SIEMENS HEALTHCARE DIAGNOSTICS INC,504021B,2022-02-20,1.0,EA,64.29,Surplus at SoBU (lot in use); lot not found at deficit ReBU,,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,18.46,24,4.55,12,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
67100,Quest Diagnostics - Chantilly,Esoteric,ChantillyMaterialsManagement@questdiagnostics.com,ChantillyMaterialsManagement@questdiagnostics.com,26.03,24,5.109999999999999,19,0,-,30696,"RGT, FACTOR X DEF. SUBSTR, 3X1,(OTXY135)",SIEMENS HEALTHCARE DIAGNOSTICS INC,504020D,2021-10-08,1.0,EA,64.29,Surplus at SoBU (lot in use); lot in use at deficit ReBU,,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,18.46,24,4.55,12,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
36200,Mid America Clinical Labs,Great MidWest,Brent Fraker,Brent Fraker,99999.0,22,0.0,2,0,-,30697,"RGT, FACTOR IX DEF. SUBSTR, 8X1, 1/EA,(OTXX175)",SIEMENS HEALTHCARE DIAGNOSTICS INC,504143C,2021-07-30,2.0,EA,142.44,Lot expires before SoBU use; lot NOT at deficit ReBU (minimum days applies),,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,16.36,24,3.8500000000000005,9,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",2.0
36000,MedFusion,Esoteric,,,55.56,24,0.63,5,0,-,30709,"RGT, FACTOR II DEF. SUBSTR, 3X1, 1/EA,(OSGR135)",SIEMENS HEALTHCARE DIAGNOSTICS INC,503647,2021-09-19,2.0,EA,53.42,Surplus at SoBU (lot in use); lot not found at deficit ReBU,,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,11.11,24,3.15,5,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
33000,Nichols Institute Valencia,Esoteric,,,45.31,14,97.02,628,0,-,34258,NEEDLE DISPOSAL CONTAINER 1GAL,FISHER HEALTHCARE,NONLOT,2100-01-01,37.0,EA,85.83999999999999,Surplus at SoBU (non-lot),,68100,Quest Diagnostics - West Hills,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,12.76,14,210.70000000000002,384,0,-,68100-EN,"8401 Fallbrook Avenue, West Hills, 91304, CA",0.0
33000,Nichols Institute Valencia,Esoteric,,,48.57,14,7.3500000000000005,51,0,-,34753,TIP ART 20UL STERILE W/TRAY 5P,FISHER HEALTHCARE,NONLOT,2100-01-01,19.0,PK,995.41,Surplus at SoBU (non-lot),,36000,MedFusion,Esoteric,,,0.0,14,9.94,0,20,-,36000-Z3E,"2501 South State Highway 121
Suite 1100, Lewisville, 75067-8188 , TX",0.0
39500,Quest Diagnostics-S. Fla Miami,Southeast,Maria.R.Garzon@questdiagnostics.com,Maria.R.Garzon@questdiagnostics.com,14.97,14,10.29,22,0,-,34756,"TIP, PIPET, BARRIER, 100-1000U",FISHER HEALTHCARE,NONLOT,2100-01-01,1.0,PK,71.05,Surplus at SoBU (non-lot),,33000,Nichols Institute Valencia,Esoteric,,,8.33,14,45.36,54,0,-,33000-SLI,"27027 Tourney Rd, Valencia, 91355-5386 , CA",0.0
67100,Quest Diagnostics - Chantilly,Esoteric,ChantillyMaterialsManagement@questdiagnostics.com,ChantillyMaterialsManagement@questdiagnostics.com,51.06,14,9.87,72,0,-,34756,"TIP, PIPET, BARRIER, 100-1000U",FISHER HEALTHCARE,NONLOT,2100-01-01,31.0,PK,2202.5499999999997,Surplus at SoBU (non-lot),,46500,Quest Diagnostics-Marlborough,North,Leslie.X.Haradji@questdiagnostics.com,Leslie.X.Haradji@questdiagnostics.com,0.0,14,15.680000000000001,0,0,-,46500-NL2,"200 Forest Street
Floor 3, Marlborough, 1752, MA",0.0
68100,Quest Diagnostics - West Hills,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,51.61,14,41.370000000000005,305,0,-,34756,"TIP, PIPET, BARRIER, 100-1000U",FISHER HEALTHCARE,NONLOT,2100-01-01,35.0,PK,2486.75,Surplus at SoBU (non-lot),,33000,Nichols Institute Valencia,Esoteric,,,8.33,14,45.36,54,0,-,33000-SLI,"27027 Tourney Rd, Valencia, 91355-5386 , CA",0.0
